,Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,Unnamed: 28
230,Ferrigno La Bonne Mer Fisherman's Anchovies,7,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,69,2.43,No,No,Yes,Yes,No,No,No,No,Yes,,?,1200,?,Per 100g
231,Ferrigno La Bonne Mer Fisherman's Sardines,7,"Extra Virgin Olive Oil, Organic",Sardine,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,135,4.76,No,No,Yes,Yes,No,No,No,No,Yes,,?,850,?,Per 100g
232,Ferrigno La Bonne Mer Lisettes (Small Whole Mackerel) in Organic Extra Virgin Olive Oil,7.5,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,France,Ferrigno,Yes,No,,No,No,Unstated,135,4.76,No,No,No,No,No,No,No,No,Yes,,?,210,?,Per 100g
233,Ferrigno La Bonne Mer Mixed Seafood (Méli-mélo) in Organic Extra Virgin Olive Oil with Aromatics and Spices,9,"Extra Virgin Olive Oil, Organic","Sardines, Mussels, Squid","Sardina pilchardus, Mytillus galloprovincialis or chilensis, Dosidicus gigas or Loligo vulgaris",France,Ferrigno,Yes,No,"Onion, Garlic, Parsley, Piment d'Espelette",No,No,Unstated,100,3.52,No,No,No,Yes,No,No,No,No,Yes,,1,1200,?,Per 100g
234,"Ferrigno La Bonne Mer Mussels with Organic Olive Oil, Garlic and Parsley",8.5,"Extra Virgin Olive Oil, Organic",Mussels,Mytillus galloprovincialis or chilensis,France,Ferrigno,Yes,No,"Garlic, Parsley",,,Unstated,100,3.52,No,No,No,Yes,No,No,No,No,Yes,,1,1200,?,Per 100g
235,Ferrigno La Bonne Mer Sardines à l'escabèche (Sardines in Escabeche),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Escabeche,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,830,?,Per 100g
236,"Ferrigno La Bonne Mer Sardines à la Bastiaise (w/ Lemon, Garlic and Parsley)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,115,4.0,No,No,Yes,Yes,No,No,No,No,No,,?,850,?,Per 100g
237,"Ferrigno La Bonne Mer Sardines à la Brousse (with Whey Cheese, Tomato, and Herbs)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Cheese, Tomato",No,No,Unstated,115,4.0,No,No,No,No,No,Yes,Yes,No,No,,?,880,?,Per 100g
238,Ferrigno La Bonne Mer Sardines à la Camarguaise (w/ Chorizo sausage),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Chorizo sausage,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,850,?,Per 100g
239,"Ferrigno La Bonne Mer Sardines à la Niçoise (w/ Peppers, Onions, Garlic)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Peppers, Onion, Garlic",No,No,Unstated,115,4.0,No,No,No,Yes,Yes,No,No,No,No,,?,850,?,Per 100g
240,Ferrigno La Bonne Mer Sardines à la Ratatouille,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Ratatouille (Tomato, Onion, Pepper, Eggplant, Zucchini)",No,No,Unstated,115,4.0,No,No,No,No,No,Yes,No,No,No,,?,720,?,Per 100g
241,"Ferrigno La Bonne Mer Sardines à la Tapenade (Black Olives, Anchovies, Capers)",7,"Extra Virgin Olive Oil, Sunflower Oil",Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Tapenade (Black Olives, Anchovies, Capers)",No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,1510,?,Per 100g
242,"Ferrigno La Bonne Mer Sardines à la Tropezienne (w/ Tomato, Caper, Olive)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,"Tomato, Caper, Olive",No,No,Unstated,115,4.0,No,No,No,No,No,Yes,No,No,No,,?,880,?,Per 100g
243,Ferrigno La Bonne Mer Sardines au Citron Confit (w/ Preserved Lemon and Green Olives),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Preserved Lemon, Olives",No,No,Unstated,115,4.0,No,No,Yes,No,No,No,No,No,No,,?,850,?,Per 100g
244,Ferrigno La Bonne Mer Sardines aux Figatelli (Liver and Pork Sausage),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,Figatelli sausage,No,No,Unstated,115,4.0,No,No,No,No,No,No,Yes,No,No,,?,1100,?,Per 100g
245,Ferrigno La Bonne Mer Sardines in Butter with Fleur de Sel from Camargue,8,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Fleur de Sel,No,No,Unstated,115,4.0,No,No,No,No,No,No,Yes,No,No,,?,800,?,Per 100g
246,Ferrigno La Bonne Mer Sardines in Butter with Persillade (Garlic and Parsley),8,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Garlic, Parsley",No,No,Unstated,115,4.0,No,No,No,Yes,No,No,Yes,No,No,,?,800,?,Per 100g
247,Ferrigno La Bonne Mer Sardines in Butter with Thyme de Provence,8,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Thyme de Provence,No,No,Unstated,115,4.0,No,No,No,No,No,No,Yes,No,No,,?,800,?,Per 100g
248,Ferrigno La Bonne Mer Sardines in Extra Virgin Olive Oil and Fleur de Sel,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Fleur de Sel,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,850,?,Per 100g
249,Ferrigno La Bonne Mer Squid Pieces in Organic Provencal Sauce,8.5,"Extra Virgin Olive Oil, Organic",Squid,Dosidicus gigas or Loligo vulgaris,France,Ferrigno,Yes,No,Tomato,,,Unstated,100,3.52,No,No,No,No,No,Yes,No,No,Yes,,1,1800,?,Per 100g
250,Ferrigno La Bonne Mer Wild Salmon in Water,8.5,Spring water,Salmon,Oncorhynchus mykiss,France,Ferrigno,Yes,No,,Yes,Yes,,115,4.0,No,No,No,No,No,No,No,No,No,,?,?,,
251,Ferrigno Les Belles de Marseille Les Pitchounettes (Small Sardines) in Extra Virgin Olive Oil,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,850,?,Per 100g
252,Ferrigno Les Belles de Marseille Mackerel Fillets in Extra Virgin Olive Oil,7,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,?,1040,?,Per 100g
253,Ferrigno Les Belles de Marseille Mackerel Fillets with Pastis,7,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,Pastis (Anise flavored liquer),Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,?,1040,?,Per 100g
254,Ferrigno Les Belles de Marseille Mackerel Fillets with Pepper and Chili,7,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,,?,1040,?,Per 100g
255,Ferrigno Les Belles de Marseille Sardines à l’huile d’olive vierge extra (Sardines in Extra Virgin Olive Oil),7,Extra Virgin Olive Oil,Sardine,Sardina Pilchardus,France,Ferrigno,Yes,No,,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,850,?,Per 100g
256,Ferrigno Les Belles de Marseille Sardines au Pastis,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Pastis (Anise flavored liquer),No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,850,?,Per 100g
257,"Ferrigno Les Belles de Marseille Sardines au Pescadou (Stewed in Lemon, Garlic, Parsley)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,115,4.0,No,No,Yes,Yes,No,No,No,No,No,,?,850,?,Per 100g
258,Ferrigno Les Belles de Marseille Vintage Sardines (2016),7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,?,850,?,Per 100g
259,Ferrigno Les Belles de Marseille Vintage Sardines (2017),7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,,No,No,Unstated,115,5.0,No,No,No,No,No,No,No,No,No,,?,851,?,Per 100g
260,Ferrigno Les Belles de Marseille Vintage Sardines (2018),7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,,No,No,Unstated,115,6.0,No,No,No,No,No,No,No,No,No,,?,852,?,Per 100g
261,Ferrigno Oil’Lympic Sardines with Fennel and Anise,7,"Sunflower, Extra Virgin Olive Oil",Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Fennel, anise, balsamic vinegar",N,N,Unstated,115,4.0,No,No,No,No,Yes,No,No,No,No,,?,750,?,
262,Ferrigno Oil’Lympic Sardines with Onion Confit,7,"Sunflower, Extra Virgin Olive Oil",Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,"Herbs, onion, balsamic vinegar",No,No,Unstated,115,4.0,No,No,No,No,Yes,No,No,No,No,,?,750,?,
263,Ferrigno Oil’Lympic Sardines with Pesto (basil),7,"Sunflower, Extra Virgin Olive Oil",Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Herbs, cheese, cashews, pine nuts",No,No,Unstated,115,4.0,No,No,No,Yes,Yes,No,Yes,No,No,,?,750,?,
264,Flower Moroccan Sardines in Tomato Sauce,3.5,Soybean Oil,Sardines,Sardina pilchardus,Morocco,Flower,Yes,No,Tomato,No,No,Unstated,124,4.38,No,No,No,No,No,Yes,No,No,No,,1,500,22,
265,Flower Moroccan Spiced Sardines,3.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,Flower,Yes,No,"Spiced/Spicy Chili Pepper, Cucumber, Carrot",No,No,Unstated,124,4.38,No,No,No,No,Yes,No,No,No,No,,1,500,22,
266,Groix & Nature Crab Rillettes,10.5,,Crab,Cancer pagurus,France,Groix & Nature,Yes,No,,,,,100,3.5,No,No,No,No,No,No,Yes,Yes,No,,2,230,9,
267,Groix & Nature Indian Tuna Rillettes,10,,"Tuna, albacore",Thunnus alalunga,France,Groix & Nature,Yes,No,"liquid cream, pollock, water, wheat flour, milk proteins and lactose, salt, curry (coriander, turmeric, mustard, chickpea flour, dehydrated onion, paprika, nutmeg, cumin, black pepper, chilli, garlic, fenugreek, fennel, cloves, cardamom, salt), shallots, garlic, Espelette pepper",,,,100,3.5,No,No,No,Yes,Yes,No,Yes,Yes,No,,,,,
268,Groix & Nature Lobster Oil,22,Grapeseed Oil,Lobster ,Hamarus gammarus,France,Groix & Nature,Yes,No,Lobster Oil,,,,100ml,3.38,No,No,No,Yes,No,No,No,No,No,,7,0,,
269,Groix & Nature Lobster Rillettes with Kari Gosse,16.5,Butter,"Lobster, Pollack, Scallop",Homarus gammarus,France,Groix & Nature,Yes,No,,,,,100,3.5,No,No,No,Yes,No,No,Yes,Yes,No,,2,240,10,
270,Groix & Nature Mackerel Rillettes with Sichuan Pepper,9,"Water, Cream",Mackerel,?,France,Groix & Nature,Yes,No,Sichuan Pepper,,,,100,3.5,No,No,No,Yes,No,No,Yes,Yes,No,,2,,,
271,Groix & Nature Salmon Rillettes,10.5,,Salmon,?,France,Groix & Nature,Yes,No,,,,,100,3.5,No,No,No,No,No,No,Yes,Yes,No,,2,180,8,
272,Groix & Nature Sardine Rillettes with Piment d'Espelette,9.5,Olive Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,Piment d'Espelette,,,,100,3.5,No,No,No,No,No,No,Yes,Yes,No,,2,170,7,
273,Groix & Nature Sardines in Extra Virgin Olive Oil,11.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,1,1000,?,
274,Groix & Nature Sardines with Lobster Oil,15.5,Grapeseed Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,"Lobster, shallots, carrot, garlic",No,No,Unstated,115,4.0,No,No,No,Yes,No,No,No,No,No,,2,35,?,
275,Groix & Nature Sardines with Seaweed Oil,15,Grapeseed Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,Seaweed,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,Maybe,No,,2,150,?,
276,Groix & Nature Scallop Rillettes,12.5,,Scallop,?,France,Groix & Nature,Yes,No,,,,,100,3.5,No,No,No,No,No,No,Yes,Yes,No,,2,230,9,
277,Groix & Nature Seaweed Tartare with Capers and Pickles,10.5,Water/Vinegar,,,France,Groix & Nature,Yes,No,Seaweed,,,,110,3.5,No,No,No,Yes,No,No,No,No,No,,,,,
278,Groix & Nature Smoked Mackerel Rillettes,8.5,,Mackerel,?,France,Groix & Nature,Yes,No,,,,,100,3.5,Yes,No,No,No,No,No,Yes,Yes,No,,2,250,10,
279,Groix & Nature Trout Rillettes from Brittany,10,,Trout,?,France,Groix & Nature,Yes,No,,,,,100,3.5,No,No,No,No,No,No,Yes,Yes,No,,2,210,9,
280,Groix & Nature White Tuna Rillettes,10.5,,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,France,Groix & Nature,Yes,No,,,,,100,3.5,No,No,No,Yes,No,No,Yes,Yes,No,,2,160,7,
281,Güeyu Mar Chargrilled Albacore Tuna Pâté,15,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Güeyu Mar,Yes,No,,,,,68,2.4,No,Yes,No,No,No,No,No,No,No,,3,500,22,
282,Güeyu Mar Chargrilled Bluefin Tuna Pâté,15,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,,,,,68,2.4,No, Yes,No,No,No,No,No,No,No,,4,420,18,
283,Güeyu Mar Chargrilled Bonito del Norte (Bonito a la Brasa),26,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Güeyu Mar,Yes,No,,,,,150,5.3,No,Yes,No,No,No,No,No,No,No,,1,340,15,
284,Güeyu Mar Chargrilled Medium Mussels 14-16 (Mejillones a la Brasa),21,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Güeyu Mar,Yes,No,Escabeche,,,14/16,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,510,22,
285,Güeyu Mar Chargrilled Octopus (Pulpo a la Brasa),26,Extra Virgin Olive Oil,Octopus,Octopus vulgaris,Spain,Güeyu Mar,Yes,No,,,,,159,5.6,No,Yes,No,No,No,No,No,No,No,,1,500,22,
286,Güeyu Mar Chargrilled Razor Clams,36,Olive Oil,"Clam, Razor",Ensis magnus,Spain,Güeyu Mar,Yes,No,,,,6/8,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,500,22,
287,Güeyu Mar Chargrilled Red Tuna Dark Loins (Lomo Negro de Atún),38,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,,,,,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,340,15,
288,Güeyu Mar Chargrilled Red Tuna Neck (Morillo de Atún),66,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,,,,,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,340,15,
289,Güeyu Mar Chargrilled Red Tuna Ventresca,48,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,,,,,150,5.3,No,Yes,No,No,No,No,No,No,No,,1,340,15,
290,Güeyu Mar Chargrilled Red Tuna White Loin (Lomo Blanco de Atún),38,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,,,,,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,340,15,
291,Güeyu Mar Chargrilled Sardine Loins (Lomos de Sardinas),23,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,,No,No,Unstated,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,840,36,
292,Güeyu Mar Chargrilled Sardine Loins in Escabeche (Lomos en Escabeche),20,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,Escabeche,No,No,Unstated,150,5.29,No,Yes,No,No,No,No,No,No,No,,?,?,?,
293,Güeyu Mar Chargrilled Sardine Pâté,15,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,,,,,68,2.4,No,Yes,No,No,No,No,No,No,No,,4,750,33,
294,Güeyu Mar Chargrilled Sardine Tails,20,Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,,No,No,6,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,840,36,
295,Güeyu Mar Chargrilled Sardine Tails in Escabeche (Colas en Escabeche),20,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,Escabeche,No,No,6,150,5.29,No,Yes,No,No,No,No,No,No,No,,1,760,33,
296,Güeyu Mar Chargrilled Sardine Tails in Spicy Escabeche (Colas en Escabeche Picante),20,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,Spiced/Spicy Escabeche,No,No,Unstated,150,5.3,No,Yes,No,No,Yes,No,No,No,No,,1,760,33,
297,Güeyu Mar Chargrilled Sea Cucumber (Espardena),70,Extra Virgin Olive Oil,Sea Cucumber,Parastichopus regalis,Spain,Güeyu Mar,Yes,No,,,,Unstated,,4.2,No,Yes,No,No,No,No,No,No,No,,1,130,2,
298,Güeyu Mar Chargrilled Small Mussels 20-24 (Mejillones a la Brasa),20,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Güeyu Mar,Yes,No,Escabeche,,,20/24,150,5.5,No,Yes,No,No,No,No,No,No,No,,1,540,24,
299,Güeyu Mar Chargrilled Spicy Cockles,44,Olive Oil,Cockles,Cerastoderma edule,Spain,Güeyu Mar,Yes,No,Spiced/Spicy,,,50/80,150,5.29,No,Yes,No,No,Yes,No,No,No,No,,1,50,2,
300,Güeyu Mar Squid (Calamari) from Another Planet,21,,Squid,Loligo vulgaris,Spain,Güeyu Mar,Yes,No,Ink,,,,170,6.0,No,Yes,No,No,No,No,No,No,No,,1,500,3,?
301,Gulf of Maine Conservas Line Caught Bluefin Tuna in Olive Oil,22,Olive Oil,"Tuna, Bluefin",Thunnus thynnus,USA,Gulf of Maine Conservas,Yes,No,,,,,170,6.0,No,No,No,No,No,No,No,No,No,,2,330,2,
302,Gulf of Maine Conservas Smoked Eel in Olive Oil,40,Olive Oil,Eel,Anguilla rostra,USA,Gulf of Maine Conservas,Yes,No,,Yes,Yes,,170,6.0,Yes,No,No,No,No,No,No,No,No,,1,350,4,
303,Gulf of Maine Conservas Tinkers (Atlantic Mackerel),16,Extra Virgin Olive Oil,Mackerel,Scomber scombrus,USA,Gulf of Maine Conservas,Yes,No,,Yes,No,Unstated,170,6.0,No,No,No,No,No,No,No,No,No,,2,400,4,
304,Hagoromo Broiled and Seasoned Saury (Sanma),4.5,Soy Sauce,Saury,Cololabis saira,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.52,No,Yes,No,No,No,No,No,Yes,No,,1,410,18,
305,Hagoromo Mackerel in Miso,4.5,Miso,Mackerel,?,Japan,Hagoromo,Yes,Yes,Miso,No,No,Unstated,160,5.64,No,No,No,No,No,No,No,No,No,,1,620,27,
306,Hagoromo Mackerel in Soy Sauce (Shoyu),4.5,Soy Sauce,Mackerel,?,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,160,5.64,No,No,No,No,No,No,No,Yes,No,,1,270,12,
307,Hagoromo Sardines in Soy Sauce (Iwashi de Kenko),4.5,Soy Sauce,Sardines,Sardinops melanostictus,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.52,No,No,No,No,No,No,No,Yes,No,,1,730,32,
308,Hagoromo Saury (Sanma) in Soy Sauce (Shoyu),4.5,Soy Sauce,Saury,Cololabis saira,Japan,Hagoromo,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.52,No,No,No,No,No,No,No,Yes,No,,1,800,32,
309,Husmor Fish Balls in Brine,14.5,Brine,"Haddock, pollack, great silver smelt, pacific whiting, saithe",,Norway,Husmor,Yes,No,,,,Unstated,800,28.0,No,No,No,No,No,No,Yes,No,No,,4,600,25,
310,"IASA Anchovy Fillets in Olive Oil, glass jar",14,Olive Oil,Anchovy,Engraulis encrasicolus,Italy,IASA,Yes,No,,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,,?,?,?,
311,IASA Anchovy Paste,5.5,Olive Oil,Anchovy,Engraulis encrasicolus,Italy,IASA,Yes,No,,,,,55,1.94,No,No,No,No,No,No,No,No,No,,?,?,?,
312,IASA Branzino Grilled Sea Bass in Olive Oil,11.5,Olive Oil,Sea Bass (Branzino),Dicentrarchus labrax,Italy,IASA,Yes,No,,Yes,Yes,Unstated,145,5.11,No,Yes,No,No,No,No,No,No,No,,1,260,11,
313,IASA Colatura di Alici di Cetara Anchovy Extract,26,Water,Anhovy,Engraulis encrasicolus,Italy,IASA,Yes,No,,,,,100ml,1.4,No,No,No,No,No,No,No,No,No,,?,?,?,
314,IASA Mediterranean Dorade in Water,15,Water,Dorade (Sea Bream),Sparus aurata,Italy,IASA,Yes,No,,Yes,Yes,Unstated,145,5.11,No,No,No,No,No,No,No,No,No,,?,?,?,
315,"IASA Spicy Anchovies in Olive Oil, glass jar",15,Olive Oil,Anchovy,Engraulis encrasicolus,Italy,IASA,Yes,No,Spiced/Spicy Tomato,No,No,Unstated,200,7.05,No,No,No,No,Yes,Yes,No,No,No,,?,?,?,
316,Jacques Gonidec Sardines in Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,,No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,Yes,,2,280,10,
317,Jacques Gonidec Sardines in Organic EVOO and Organic Onion Sauce,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,"Onion, lemon, cloves",No,No,Unstated,115,4.0,No,No,Yes,No,No,No,No,No,Yes,,2,329,15,
318,Jacques Gonidec Sardines in Organic EVOO with Organic Hot Pepper,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,,No,No,Unstated,115,4.0,No,No,No,No,Yes,No,No,No,Yes,,2,280,10,
319,Jacques Gonidec Sardines in Organic Extra Virgin Olive Oil with Organic Lemon,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,Lemon,No,No,Unstated,115,4.0,No,No,Yes,No,No,No,No,No,Yes,,2,280,10,
320,Jacques Gonidec Sardines with Organic Basil and Organic Thyme in Organic Extra Virgin Olive Oil,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,"Basil, Thyme",No,No,Unstated,115,4.0,No,No,No,No,No,No,No,No,Yes,,2,280,10,
321,Jacques Gonidec Sardines with Sundried Tomatoes and Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Jacques Gonidec,Yes,No,Sun-Dried Tomatoes,No,No,Unstated,115,4.0,No,No,No,No,No,Yes,No,No,Yes,,2,420,19,
322,José Gourmet Cockles in Brine 25/30,36,Water,Cockles,Cerastoderma edule,Spain,José Gourmet,Yes,No,,,,25/30,110,3.9,No,No,No,No,No,No,No,No,No,,1,900,22,
323,José Gourmet Codfish in Olive Oil and Garlic,13.5,Olive Oil,Cod,Gadus morhua,Portugal,José Gourmet,Yes,No,Garlic,Yes,Yes,Unstated,120,4.0,No,No,No,Yes,No,No,No,No,No,,1,1260,25,
324,José Gourmet Fried Mussels in Marinade (Escabeche) 7/10,14.5,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,José Gourmet,Yes,No,Escabeche,,,7/10,110,3.9,No,No,No,No,No,No,No,No,No,,1,900,24,
325,José Gourmet Garfish in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Garfish,Belone belone,Portugal,José Gourmet,Yes,No,,,,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,,1,480,,
326,José Gourmet Horse Mackerel (mistranslated as Stickleback) in Escabeche,12,Olive Oil/Escabeche,Horse Mackerel,Trachurus trachurus,Spain,José Gourmet,Yes,No,Escabeche,,,Unstated,120,4.0,No,No,No,No,Yes,No,No,No,No,,2,372,16.3,
327,José Gourmet Mackerel Fillets in Curry Sauce,14.5,Rapeseed Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,Curry Sauce,Yes,Yes,,120,4.2,No,No,No,No,Yes,No,No,No,No,,,,,
328,José Gourmet Mackerel Fillets in Olive Oil,12,Olive Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,,Yes,Yes,Unstated,125,4.0,No,No,No,No,No,No,No,No,No,,1,700,14,
329,José Gourmet Octopus in Olive Oil with Garlic,24,Olive Oil,Octopus,?,Spain,José Gourmet,Yes,No,Garlic,,,,120,4.0,No,No,No,Yes,No,No,No,No,No,,1,800,15,
330,José Gourmet Razor Clams in Brine 6/8,19.5,Water,"Clam, Razor",Ensis siliqua,Spain,José Gourmet,Yes,No,,,,6/8,110,3.9,No,No,No,No,No,No,No,No,No,,1,420,19,
331,José Gourmet Sardines in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,1,450,13,
332,José Gourmet Sardines in Tomato Sauce,10,Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,Tomato,No,No,Unstated,125,4.0,No,No,No,No,No,Yes,No,No,No,,1,1030,14,
333,José Gourmet Sardines with Lemon in Olive Oil,10,Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,Lemon,No,No,Unstated,120,4.0,No,No,Yes,No,No,No,No,No,No,,1,850,16,
334,José Gourmet Small Mackerel in Olive Oil,10,Olive Oil,Mackerel,Scomber japonicus,Portugal,José Gourmet,Yes,No,,No,No,Unstated,120,4.0,No,No,No,No,No,No,No,No,No,,1,600,13,
335,José Gourmet Small Sardines in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,José Gourmet,Yes,No,,No,No,Unstated,90,3.0,No,No,No,No,No,No,No,No,No,,1,900,23,
